id,suit,card,value,deck
1,clubs,Ace,11,1
2,clubs,2,2,1
3,clubs,3,3,1
4,clubs,4,4,1
5,clubs,5,5,1
6,clubs,6,6,1
7,clubs,7,7,1
8,clubs,8,8,1
9,clubs,9,9,1
10,clubs,10,10,1
11,clubs,Jack,10,1
12,clubs,Queen,10,1
13,clubs,King,10,1
14,diamonds,Ace,11,1
15,diamonds,2,2,1
16,diamonds,3,3,1
17,diamonds,4,4,1
18,diamonds,5,5,1
19,diamonds,6,6,1
20,diamonds,7,7,1
21,diamonds,8,8,1
22,diamonds,9,9,1
23,diamonds,10,10,1
24,diamonds,Jack,10,1
25,diamonds,Queen,10,1
26,diamonds,King,10,1
27,hearts,Ace,11,1
28,hearts,2,2,1
29,hearts,3,3,1
30,hearts,4,4,1
31,hearts,5,5,1
32,hearts,6,6,1
33,hearts,7,7,1
34,hearts,8,8,1
35,hearts,9,9,1
36,hearts,10,10,1
37,hearts,Jack,10,1
38,hearts,Queen,10,1
39,hearts,King,10,1
40,spades,Ace,11,1
41,spades,2,2,1
42,spades,3,3,1
43,spades,4,4,1
44,spades,5,5,1
45,spades,6,6,1
46,spades,7,7,1
47,spades,8,8,1
48,spades,9,9,1
49,spades,10,10,1
50,spades,Jack,10,1
51,spades,Queen,10,1
52,spades,King,10,1
